工单ID	工单状态	资产名称	分支	扫描类型	命中规则	工单处理人	资产负责人	创建时间	Leader	问题路径	处理节点	工单链接	服务树路径(仅针对TCC检测)	代码详情
85668061	fixed	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	chinese	中文	lijialun.qwq	zhaozhenjia	2026-02-24 13:35:57	hanbingtian	Assets/Tob XR Tools/Framework/UI/Editor/LocalizationTestEditor.cs	fixed	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85668061_num_		EditorUtility.DisplayDialog("提示", "场景中已存在一个多语言测试器", "好的");
85668057	fixed	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	chinese	中文	lijialun.qwq	zhaozhenjia	2026-02-24 13:35:57	hanbingtian	Assets/Tob XR Tools/Framework/UI/Editor/LocalizationTileTest.cs	fixed	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85668057_num_		"[MenuItem(""GameObject/多语言测试/平铺展示当前选中的UI"", false, 10)]
static void TileObjects(MenuCommand menuCommand)"
85668052	fixed	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	chinese	中文	Gemini	zhaozhenjia	2026-02-24 13:35:56	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/SpatialAudio/Runtime/PXR_Audio_Spatializer_Types.cs	fixed	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85668052_num_		"InverseSquare = 2, // 引擎 InverseSquare Law 计算距离衰减
Customized = 3, // 依据外部传入的 Callback 计算距离衰减"
85668051	fixed	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	chinese	中文	lijialun.qwq	zhaozhenjia	2026-02-24 13:35:56	hanbingtian	Assets/Third Party/TubeRenderer/Runtime/TubeRenderer.cs	fixed	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85668051_num_		"// Compute begin point rotation.
Vector3 right = Vector3.Cross( up, forward );  // 左手规则
if( !isFirstFrame ) {"
85668049	fixed	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	chinese	中文	lijialun.qwq	zhaozhenjia	2026-02-24 13:35:56	hanbingtian	Assets/Tob XR Tools/Framework/UI/Localization/LocalizationTool.cs	fixed	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85668049_num_
85668035	fixed	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	chinese	中文	Gemini	zhaozhenjia	2026-02-24 13:35:56	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Assets/Resources/Hand/Shaders/PXR_Hand.shader	fixed	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85668035_num_
85668028	fixed	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	chinese	中文	lijialun.qwq	zhaozhenjia	2026-02-24 13:35:56	hanbingtian	Assets/Art/Space Scanning/TriangleFadeOutFromCenter.shader	fixed	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85668028_num_
85668023	fixed	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	chinese	中文	rayson.zhang	zhaozhenjia	2026-02-24 13:35:56	hanbingtian	Assets/Art/Quick Mode/Models/Old Origin Direction.fbx	fixed	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85668023_num_
85668011	fixed	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	chinese	中文	Gemini	zhaozhenjia	2026-02-24 13:35:55	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Platform/Editor/PicoGs.cs	fixed	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85668011_num_
85668010	fixed	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	chinese	中文	Gemini	zhaozhenjia	2026-02-24 13:35:55	hanbingtian	Assets/Tob XR Tools/Common/PUIUtils.cs	fixed	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85668010_num_
85668009	fixed	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	chinese	中文	Gemini	zhaozhenjia	2026-02-24 13:35:55	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Platform/Editor/PlatformConfig.cs	fixed	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85668009_num_
85668005	fixed	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	chinese	中文	Gemini	zhaozhenjia	2026-02-24 13:35:54	hanbingtian	PICO Unity Integration SDK_3.1.0_20250109/Editor/PXR_SDKSettingEditor.cs	fixed	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85668005_num_
85668004	fixed	pico-ttp/Enterprise_app_LSpaceU3d	rls/swan-w-mol-ttp-qssi-20260203	chinese	中文	lijialun.qwq	zhaozhenjia	2026-02-24 13:35:54	hanbingtian	Assets/Resources/Localization/Localization-zh.csv	fixed	https://gpcp.tiktok-row.net/aegis/sceneConfig/space/184/project/2886/scene/4217?detail_id=85668004_num_
