
AP UTC TIME:2026-03-18-02-15-35, reset cnt:0
Jan  1 08:00:04.500 (none) syslog.info syslogd started: BusyBox v1.35.0
Jan  1 08:00:04.505 (none) kern.notice kernel: klogd started: BusyBox v1.35.0 (2026-03-13 00:09:36 CST)
Jan  1 08:00:04.505 (none) kern.info kernel: [    0.894693] brpc_rsc: vdev_0:
Jan  1 08:00:04.505 (none) kern.info kernel: [    0.898004] brpc_rsc: peer_domain: sensorhub
Jan  1 08:00:04.505 (none) kern.info kernel: [    0.902776] brpc_rsc: num: 0x100, align: 0x10
Jan  1 08:00:04.505 (none) kern.info kernel: [    0.907645] brpc_rsc: peer_ipc_ep: 6, peer_ipc_rx_chan: 0, peer_ipc_tx_chan: 0
Jan  1 08:00:04.505 (none) kern.info kernel: [    0.915723] brpc_rsc: chan_0 name: rpmsg-tty-channel, src: 0x401, dst: 0x402
Jan  1 08:00:04.505 (none) kern.info kernel: [    0.923604] brpc_rsc: brpc_vdev_rsc_dump 189 vdev_shm_phys: 0x213502000, vdev_shm_sz: 0x6fe000
Jan  1 08:00:04.505 (none) kern.info kernel: [    0.933230] brpc_rsc: brpc_rsc_tbl_init sh_master_ina55_brpc_rsc_tbl tbl_phys: 0x210000000, tbl_sz: 0x2000
Jan  1 08:00:04.505 (none) kern.info kernel: [    0.944031] brpc_rsc: vdev_0:
Jan  1 08:00:04.505 (none) kern.info kernel: [    0.947342] brpc_rsc: peer_domain: sensorhub
Jan  1 08:00:04.505 (none) kern.info kernel: [    0.952114] brpc_rsc: num: 0x100, align: 0x10
Jan  1 08:00:04.505 (none) kern.info kernel: [    0.956984] brpc_rsc: peer_ipc_ep: 6, peer_ipc_rx_chan: 0, peer_ipc_tx_chan: 0
Jan  1 08:00:04.505 (none) kern.info kernel: [    0.965061] brpc_rsc: chan_0 name: rpmsg-tty-channel, src: 0x401, dst: 0x402
Jan  1 08:00:04.505 (none) kern.info kernel: [    0.972940] brpc_rsc: brpc_vdev_rsc_dump 189 vdev_shm_phys: 0x21000a000, vdev_shm_sz: 0x6000
Jan  1 08:00:04.507 (none) kern.info kernel: [    0.987770] vgaarb: loaded
Jan  1 08:00:04.507 (none) kern.err kernel: [    0.992314] btd_vivian-pinctrl 400.pinctrl: ioss_i2c_5 config: key[5] = 0x1 
Jan  1 08:00:04.507 (none) kern.err kernel: [    1.000206] btd_vivian-pinctrl 400.pinctrl: ioss_i2c_5 config: key[9] = 0x5 
Jan  1 08:00:04.507 (none) kern.info kernel: [    1.008155] btd_vivian-pinctrl 400.pinctrl: btd_pmx_set_mux: func[1] group[11]
Jan  1 08:00:04.508 (none) kern.info kernel: [    1.017289] mc: Linux media interface: v0.10
Jan  1 08:00:04.508 (none) kern.info kernel: [    1.022159] videodev: Linux video capture interface: v2.00
Jan  1 08:00:04.508 (none) kern.info kernel: [    1.028331] EDAC MC: Ver: 3.0.0
Jan  1 08:00:04.508 (none) kern.info kernel: [   26.800099] bytedance_timer: bytedance_timer scale:100, value:5
